date,forecast,forecast_lower,forecast_upper,actual,segment
2025-12-02,13788,3949,23261,12383,test
2025-12-03,13582,5000,22702,11968,test
2025-12-04,13618,4703,22778,12206,test
2025-12-05,13370,4018,22503,11257,test
2025-12-06,10018,859,18931,8382,test
2025-12-07,9071,0,17256,7777,test
2025-12-08,15072,5152,24546,15716,test
2025-12-09,13662,4841,23342,13849,test
2025-12-10,13456,4037,23127,13716,test
2025-12-11,13491,4745,22148,14175,test
2025-12-12,13244,3751,22388,13207,test
2025-12-13,9892,0,18784,10243,test
2025-12-14,8944,0,18173,9616,test
2025-12-15,14946,5814,25036,18485,test
2025-12-16,13535,4209,22748,16246,test
2025-12-17,13329,4584,22673,15277,test
2025-12-18,13365,4685,23145,15482,test
2025-12-19,13117,3844,22409,14389,test
2025-12-20,9765,786,19354,10239,test
2025-12-21,8818,0,18116,9302,test
2025-12-22,14819,4883,24369,24390,test
2025-12-23,13409,3439,22999,21270,test
2025-12-24,13203,4279,23083,13119,test
2025-12-25,13238,4293,22815,6832,test
2025-12-26,12991,3272,22461,18321,test
2025-12-27,9639,0,19142,19429,test
2025-12-28,8691,0,18315,8475,test
2025-12-29,14693,6066,23458,15695,test
2025-12-30,13283,3686,22783,13764,test
2025-12-31,13076,4138,22456,13188,test
2026-01-01,13222,3647,22453,,future
2026-01-02,12864,3508,21613,,future
2026-01-03,9512,0,18646,,future
2026-01-04,8565,0,17495,,future
2026-01-05,14566,4810,23392,,future
2026-01-06,13156,3676,22262,,future
2026-01-07,12950,3553,22885,,future
2026-01-08,12985,3790,22542,,future
2026-01-09,12738,3162,21902,,future
2026-01-10,9386,0,18261,,future
2026-01-11,8439,0,17161,,future
2026-01-12,14440,5449,24423,,future
2026-01-13,13030,3027,22353,,future
2026-01-14,12823,3326,21940,,future
2026-01-15,12859,3118,21554,,future
2026-01-16,12611,2922,21473,,future
2026-01-17,9259,613,19110,,future
2026-01-18,8312,0,17440,,future
2026-01-19,14214,5056,23221,,future
2026-01-20,12903,3659,22591,,future
2026-01-21,12697,2742,21539,,future
2026-01-22,12732,3887,21908,,future
2026-01-23,12485,3239,21581,,future
2026-01-24,9133,0,18206,,future
2026-01-25,8186,0,17313,,future
2026-01-26,14187,5408,23715,,future
2026-01-27,12777,3770,21871,,future
2026-01-28,12571,3281,21622,,future
2026-01-29,12606,3456,21036,,future
2026-01-30,12359,2839,21412,,future
